epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1858.87,0.2708,0.25859,0.13395,0.00535,0.03803,0.97856,0.98153,0.99067,0.98086,0.9799,0.98288,0.99074,0.9697,0.18426,0.26947,0.11216,0.00384,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1939.02,0.26606,0.26435,0.12746,0.00523,0.04016,0.98808,0.97215,0.99337,0.97927,0.98877,0.97284,0.99365,0.97259,0.18565,0.25044,0.10933,0.00379,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2018.88,0.2719,0.26093,0.13953,0.00534,0.03727,0.98481,0.97146,0.99069,0.98167,0.98618,0.97281,0.99085,0.97251,0.16996,0.24234,0.11581,0.00339,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2099.05,0.26143,0.25979,0.12746,0.00513,0.03814,0.98523,0.98186,0.99133,0.9805,0.98588,0.98252,0.99134,0.97473,0.19685,0.2342,0.1033,0.0044,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2179.12,0.2617,0.25803,0.12773,0.00515,0.03739,0.98869,0.97166,0.99299,0.98112,0.98736,0.97168,0.99079,0.97295,0.18497,0.23928,0.10239,0.00374,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2259.03,0.25469,0.25451,0.13516,0.00501,0.03752,0.9869,0.96749,0.9928,0.98206,0.9876,0.96818,0.99016,0.97428,0.17341,0.23661,0.11298,0.00356,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2339.26,0.25739,0.24537,0.12386,0.00505,0.03596,0.98742,0.97999,0.99071,0.98314,0.98811,0.98068,0.99083,0.9747,0.16437,0.23308,0.10129,0.00339,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2419.72,0.2484,0.24756,0.121,0.00486,0.0361,0.98869,0.97104,0.99073,0.98259,0.98941,0.97173,0.99267,0.97319,0.15405,0.23411,0.1021,0.00309,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2499.59,0.25002,0.24884,0.12931,0.00487,0.03711,0.98656,0.9784,0.99074,0.98459,0.98726,0.97909,0.9909,0.97457,0.15191,0.22958,0.09555,0.00307,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2580.02,0.24626,0.24443,0.13537,0.00476,0.03641,0.96827,0.96759,0.98827,0.97999,0.96827,0.96759,0.98839,0.97106,0.1524,0.23912,0.13062,0.00305,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2660.26,0.23887,0.24356,0.12339,0.00465,0.03484,0.98483,0.96504,0.99304,0.98413,0.97565,0.97537,0.99321,0.9744,0.14298,0.23449,0.10757,0.0029,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2740.41,0.23773,0.24198,0.1212,0.00464,0.03541,0.99406,0.97899,0.99133,0.98512,0.99477,0.97968,0.99443,0.97847,0.16553,0.22481,0.09057,0.00354,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2820.33,0.23938,0.24071,0.12589,0.00457,0.03435,0.98901,0.96962,0.99042,0.9836,0.9897,0.97031,0.99048,0.97337,0.15283,0.22122,0.1042,0.00317,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2900.59,0.23741,0.23507,0.12554,0.00455,0.03451,0.99173,0.96973,0.99024,0.98477,0.99316,0.97103,0.99311,0.97822,0.14663,0.21856,0.107,0.00305,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2980.98,0.23769,0.22893,0.13483,0.00473,0.03239,0.99546,0.97015,0.99311,0.98381,0.99691,0.9715,0.99392,0.97605,0.15084,0.21649,0.09443,0.00319,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3061.42,0.22781,0.22365,0.12316,0.00439,0.03087,0.97143,0.97955,0.99299,0.98403,0.97212,0.98024,0.99284,0.97646,0.13367,0.22041,0.10572,0.0026,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3142.1,0.22598,0.22903,0.11503,0.00436,0.03168,0.98581,0.98076,0.99321,0.9859,0.98717,0.98205,0.99098,0.97457,0.13356,0.21991,0.08788,0.0027,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3222.76,0.22259,0.23269,0.11888,0.00423,0.03205,0.98667,0.97073,0.99064,0.98534,0.98737,0.97142,0.99081,0.97858,0.12417,0.20772,0.08584,0.0024,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3303.16,0.2172,0.22511,0.11986,0.00416,0.0317,0.97424,0.9744,0.98915,0.98273,0.97562,0.97578,0.99225,0.97695,0.12666,0.2192,0.10594,0.00247,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3383.9,0.22245,0.2279,0.12122,0.00426,0.03102,0.99247,0.97958,0.99124,0.98599,0.98904,0.98546,0.99452,0.97682,0.11688,0.22683,0.0762,0.00227,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3464.58,0.21397,0.21862,0.10899,0.00412,0.03001,0.99114,0.97805,0.99413,0.9864,0.99184,0.97874,0.99439,0.98035,0.12986,0.20771,0.079,0.00263,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3544.99,0.21029,0.21522,0.1039,0.00404,0.02907,0.99503,0.97662,0.99126,0.98649,0.99568,0.97755,0.99417,0.9797,0.11601,0.21071,0.07477,0.00227,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3625.29,0.20755,0.21648,0.10819,0.00399,0.0299,0.98303,0.98179,0.99096,0.9861,0.98361,0.98327,0.99414,0.97985,0.11501,0.20443,0.08519,0.00229,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3705.63,0.20801,0.21895,0.11262,0.00393,0.03124,0.98825,0.97522,0.99067,0.98471,0.98896,0.97591,0.99379,0.9776,0.11368,0.21475,0.08139,0.00217,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3786.08,0.20605,0.22294,0.10181,0.00387,0.03016,0.99457,0.98026,0.99114,0.98638,0.99528,0.98095,0.99399,0.97901,0.11485,0.20737,0.07427,0.00219,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
